# 双龙区站点数据
"name","lng","lat"
"二福路口","106.785912","26.548814"
"云关冷链市场","106.771766","26.56426"
"云关村","106.775241","26.563088"
"云关水库","106.768951","26.564614"
"云关路中","106.790834","26.558331"
"云关路口","106.7946","26.55338"
"云关路西","106.779464","26.564277"
"兴业街中","106.769362","26.541552"
"双龙实验中学","106.761423","26.506583"
"双龙实验中学","106.764077","26.507242"
"双龙御景新城","106.790608","26.546205"
"双龙汽车小镇","106.788401","26.562489"
"双龙汽车小镇","106.790638","26.56693"
"双龙管委会","106.774616","26.542845"
"吉源驾校","106.777767","26.527702"
"国际山地旅游联盟","106.767611","26.52806"
"太升国际","106.778074","26.544765"
"安工路口","106.784375","26.564676"
"小碧派出所","106.765013","26.509318"
"小碧街口","106.762742","26.509524"
"市一医龙洞堡院区","106.781643","26.541803"
"康工路口","106.79257","26.571997"
"朝钢路口","106.764549","26.56346"
"标准化厂房","106.787414","26.570498"
"棋苑街口","106.763393","26.518564"
"永兴街","106.777541","26.5554"
"永兴街南","106.783397","26.554099"
"永兴街口","106.784711","26.552269"
"白腊山","106.763883","26.513828"
"见龙洞路","106.770776","26.55918"
"贵阳学院","106.773147","26.555836"
"轨道云盘站","106.779969","26.530149"
"轨道小碧站","106.788558","26.534571"
"轨道见龙洞站","106.781301","26.547374"
"首开紫郡","106.769532","26.547494"
"龙洞堡客站","106.775767","26.523416"
"龙洞堡机场","106.795818","26.539677"
"龙腾路","106.770723","26.532475"
"龙腾路西","106.764533","26.52245"
