"o_x","o_y","d_x","d_y","total_uv"
"106.770515","26.545904","106.799545","26.544104","3906"
"106.799545","26.544104","106.770515","26.545904","3587"
"106.774521","26.558506","106.780525","26.557606","3079"
"106.780525","26.554905","106.77652","26.550406","2986"
"106.780525","26.546804","106.789536","26.535103","2822"
"106.77652","26.550406","106.780525","26.554905","2813"
"106.780525","26.557606","106.774521","26.558506","2736"
"106.77552","26.558506","106.780525","26.557606","2565"
"106.789536","26.535103","106.780525","26.546804","2360"
"106.789536","26.535103","106.799545","26.544104","2319"
"106.780525","26.557606","106.77552","26.558506","2195"
"106.780525","26.530603","106.799545","26.544104","1909"
"106.780525","26.555805","106.77652","26.550406","1895"
"106.77652","26.550406","106.780525","26.555805","1816"
"106.77652","26.558506","106.773521","26.554005","1809"
"106.799545","26.544104","106.789536","26.535103","1772"
"106.799545","26.544104","106.780525","26.530603","1665"
"106.799545","26.544104","106.802551","26.548605","1608"
"106.778526","26.554905","106.774521","26.551306","1604"
"106.774521","26.558506","106.780525","26.558506","1591"
"106.774521","26.551306","106.778526","26.554905","1484"
"106.780525","26.558506","106.774521","26.558506","1456"
"106.781525","26.563005","106.77552","26.563005","1420"
"106.802551","26.548605","106.799545","26.544104","1417"
"106.77552","26.558506","106.780525","26.556705","1406"
"106.799545","26.544104","106.780525","26.546804","1349"
"106.789536","26.535103","106.780525","26.530603","1348"
"106.773521","26.554005","106.77652","26.558506","1315"
"106.780525","26.554905","106.774521","26.551306","1270"
"106.774521","26.551306","106.780525","26.554905","1255"
"106.780525","26.546804","106.799545","26.544104","1236"
"106.799545","26.544104","106.803551","26.550406","1233"
"106.77652","26.558506","106.77552","26.552206","1183"
"106.77552","26.558506","106.781525","26.557606","1177"
"106.800552","26.548605","106.799545","26.544104","1177"
"106.801552","26.548605","106.799545","26.544104","1164"
"106.780525","26.556705","106.77552","26.558506","1144"
"106.780525","26.530603","106.789536","26.535103","1123"
"106.781525","26.556705","106.77652","26.556705","1075"
"106.780525","26.546804","106.770515","26.545904","1068"
"106.781525","26.556705","106.77652","26.556705","1050"
"106.77552","26.558506","106.780525","26.558506","1041"
"106.77552","26.552206","106.780525","26.554905","1041"
"106.77552","26.555805","106.781525","26.556705","1039"
"106.770515","26.545904","106.780525","26.546804","1020"
"106.77652","26.553104","106.780525","26.555805","1010"
"106.77552","26.552206","106.780525","26.554905","991"
"106.77552","26.558506","106.773521","26.554005","985"
"106.77652","26.556705","106.781525","26.556705","976"
"106.780525","26.558506","106.77552","26.558506","971"
"106.800552","26.543205","106.795547","26.545004","970"
"106.781525","26.557606","106.77552","26.558506","966"
"106.77652","26.552206","106.780525","26.554905","956"
"106.780525","26.555805","106.77652","26.553104","954"
"106.779526","26.562107","106.78553","26.561207","923"
"106.780525","26.554905","106.77552","26.552206","921"
"106.784531","26.562107","106.779526","26.562107","910"
"106.77552","26.559406","106.780525","26.557606","892"
"106.799545","26.544104","106.773521","26.519802","892"
"106.77552","26.553104","106.780525","26.554905","886"
"106.781525","26.555805","106.77652","26.556705","871"
"106.796547","26.537804","106.800552","26.548605","856"
"106.78553","26.561207","106.779526","26.562107","856"
"106.77652","26.558506","106.781525","26.557606","855"
"106.774521","26.551306","106.780525","26.555805","850"
"106.780525","26.554905","106.77552","26.553104","846"
"106.77652","26.558506","106.774521","26.551306","843"
"106.77652","26.557606","106.781525","26.556705","838"
"106.779526","26.562107","106.784531","26.562107","828"
"106.781525","26.556705","106.77652","26.557606","828"
"106.781525","26.556705","106.774521","26.556705","820"
"106.77652","26.552206","106.780525","26.555805","815"
"106.795547","26.545004","106.800552","26.543205","813"
"106.799545","26.544104","106.800552","26.548605","811"
"106.780525","26.554905","106.77652","26.552206","805"
"106.799545","26.544104","106.790535","26.546804","795"
"106.77652","26.556705","106.781525","26.555805","790"
"106.803551","26.5009","106.807556","26.496399","772"
"106.780525","26.555805","106.774521","26.551306","770"
"106.768517","26.539604","106.770515","26.545904","760"
"106.780525","26.555805","106.77652","26.552206","748"
"106.774521","26.552206","106.780525","26.554905","747"
"106.777527","26.518902","106.799545","26.544104","743"
"106.799545","26.544104","106.777527","26.518902","738"
"106.781525","26.555805","106.77652","26.557606","736"
"106.781525","26.555805","106.774521","26.556705","729"
"106.774521","26.558506","106.781525","26.557606","728"
"106.780525","26.557606","106.77552","26.559406","725"
"106.781525","26.556705","106.773521","26.555805","724"
"106.796547","26.537804","106.799545","26.544104","724"
"106.77552","26.559406","106.780525","26.556705","722"
"106.773521","26.519802","106.799545","26.544104","714"
"106.801552","26.545904","106.795547","26.545004","709"
"106.774521","26.556705","106.781525","26.556705","709"
"106.781525","26.557606","106.77652","26.558506","706"
"106.799545","26.544104","106.802551","26.547705","703"
"106.77652","26.557606","106.781525","26.555805","692"
"106.780525","26.554905","106.774521","26.552206","689"
"106.798546","26.548605","106.799545","26.544104","686"
"106.77552","26.551306","106.780525","26.551306","679"
"106.774521","26.566607","106.779526","26.563906","677"
"106.779526","26.564806","106.782532","26.533304","670"
"106.802551","26.547705","106.799545","26.544104","665"
"106.77552","26.558506","106.774521","26.551306","662"
"106.781525","26.555805","106.774521","26.551306","660"
"106.77552","26.553104","106.780525","26.555805","655"
"106.774521","26.551306","106.77652","26.558506","648"
"106.779526","26.563906","106.774521","26.566607","647"
"106.773521","26.554005","106.77552","26.558506","646"
"106.803551","26.550406","106.799545","26.544104","640"
"106.77652","26.551306","106.780525","26.554905","633"
"106.778526","26.562107","106.784531","26.562107","633"
"106.78553","26.561207","106.778526","26.562107","632"
"106.782532","26.533304","106.779526","26.564806","628"
"106.77552","26.552206","106.780525","26.555805","623"
"106.781525","26.557606","106.774521","26.558506","620"
"106.77552","26.558506","106.77552","26.552206","618"
"106.774521","26.551306","106.781525","26.555805","618"
"106.780525","26.556705","106.77552","26.559406","617"
"106.774521","26.556705","106.781525","26.555805","608"
"106.784531","26.562107","106.778526","26.562107","607"
"106.774521","26.558506","106.780525","26.556705","605"
"106.780525","26.554905","106.774521","26.553104","602"
"106.807556","26.496399","106.803551","26.5009","600"
"106.780525","26.551306","106.77552","26.551306","596"
"106.780525","26.555805","106.77552","26.553104","595"
"106.780525","26.554905","106.77652","26.551306","590"
"106.778526","26.554905","106.77652","26.550406","590"
"106.786537","26.543205","106.777527","26.543205","583"
"106.803551","26.5009","106.806557","26.496399","578"
"106.795547","26.545004","106.801552","26.545904","578"
"106.77652","26.558506","106.774521","26.553104","575"
"106.77652","26.558506","106.780525","26.555805","573"
"106.799545","26.544104","106.801552","26.548605","573"
"106.768517","26.559406","106.77652","26.544104","571"
"106.797546","26.537804","106.799545","26.544104","566"
"106.77652","26.554905","106.781525","26.556705","564"
"106.77652","26.544104","106.768517","26.559406","564"
"106.796547","26.537804","106.799545","26.543205","563"
"106.781525","26.556705","106.77652","26.554905","562"
"106.77652","26.550406","106.778526","26.554905","562"
"106.767509","26.539604","106.770515","26.545904","559"
"106.774521","26.552206","106.780525","26.555805","555"
"106.780525","26.555805","106.77552","26.552206","552"
"106.770515","26.545904","106.768517","26.539604","545"
"106.76651","26.539604","106.770515","26.545904","543"
"106.763504","26.539604","106.770515","26.545904","540"
"106.77552","26.558506","106.780525","26.555805","540"
"106.778526","26.562107","106.78553","26.561207","536"
"106.765511","26.539604","106.770515","26.545904","534"
"106.777527","26.543205","106.786537","26.543205","532"
"106.782532","26.531504","106.779526","26.566607","532"
"106.795547","26.544104","106.800552","26.544104","531"
"106.780525","26.555805","106.77652","26.558506","530"
"106.799545","26.544104","106.802551","26.549505","529"
"106.779526","26.566607","106.782532","26.531504","527"
"106.77652","26.559406","106.773521","26.555805","523"
"106.796547","26.537804","106.800552","26.549505","522"
"106.786537","26.544104","106.777527","26.543205","514"
"106.780525","26.530603","106.780525","26.546804","513"
"106.77552","26.551306","106.781525","26.551306","512"
"106.801552","26.547705","106.795547","26.545004","509"
"106.777527","26.543205","106.786537","26.544104","505"
"106.77652","26.558506","106.77552","26.553104","505"
"106.77652","26.551306","106.780525","26.555805","502"
"106.77552","26.552206","106.77552","26.558506","499"
"106.792542","26.527903","106.787537","26.529703","499"
"106.77652","26.558506","106.772514","26.553104","497"
"106.806557","26.496399","106.803551","26.5009","497"
"106.781525","26.555805","106.77552","26.552206","493"
"106.77552","26.552206","106.781525","26.555805","493"
"106.770515","26.545904","106.768517","26.541405","493"
"106.77652","26.558506","106.781525","26.556705","493"
"106.780525","26.555805","106.774521","26.552206","491"
"106.770515","26.545904","106.769516","26.541405","491"
"106.774521","26.551306","106.77552","26.558506","489"
"106.770515","26.545904","106.789536","26.535103","488"
"106.77652","26.558506","106.77652","26.551306","488"
"106.790535","26.546804","106.799545","26.544104","487"
"106.796547","26.537804","106.798546","26.548605","486"
"106.800552","26.543205","106.802551","26.548605","486"
